out_SOC2.581767578125_PV0.5904931640625_pH5.456884765625_CN11.444189453125.csv
1,sugar beet/,25177.7,2011-05-02,2011-11-01
2,barley/spring barley,1782.3,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,21547,2014-04-20,2014-10-10
5,soybean/000,207.5,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.2,2017-05-20,2017-09-15
out_SOC2.581767578125_PV0.5904931640625_pH6.883154296875_CN11.978857421875.csv
1,sugar beet/,25177.7,2011-05-02,2011-11-01
2,barley/spring barley,1782.3,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,21547,2014-04-20,2014-10-10
5,soybean/000,207.2,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.2,2017-05-20,2017-09-15
out_SOC2.581767578125_PV0.6021826171875_pH5.456884765625_CN11.444189453125.csv
1,sugar beet/,25179,2011-05-02,2011-11-01
2,barley/spring barley,1806.1,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,21788.6,2014-04-20,2014-10-10
5,soybean/000,208.4,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.2,2017-05-20,2017-09-15
out_SOC2.581767578125_PV0.6021826171875_pH5.456884765625_CN11.978857421875.csv
1,sugar beet/,25179,2011-05-02,2011-11-01
2,barley/spring barley,1806.1,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,21788.6,2014-04-20,2014-10-10
5,soybean/000,208.3,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.2,2017-05-20,2017-09-15
out_SOC2.581767578125_PV0.6021826171875_pH6.883154296875_CN11.444189453125.csv
1,sugar beet/,25179,2011-05-02,2011-11-01
2,barley/spring barley,1806.1,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,21788.6,2014-04-20,2014-10-10
5,soybean/000,208.1,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.2,2017-05-20,2017-09-15
out_SOC2.58353515625_PV0.563310546875_pH4.921191406249999_CN11.82724609375.csv
1,sugar beet/,25173.5,2011-05-02,2011-11-01
2,barley/spring barley,1708.9,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,20962.4,2014-04-20,2014-10-10
5,soybean/000,207.4,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.1,2017-05-20,2017-09-15
out_SOC2.58353515625_PV0.563310546875_pH6.00830078125_CN11.11826171875.csv
1,sugar beet/,25173.5,2011-05-02,2011-11-01
2,barley/spring barley,1708.9,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,20962.4,2014-04-20,2014-10-10
5,soybean/000,207.4,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.1,2017-05-20,2017-09-15
out_SOC2.58353515625_PV0.623056640625_pH4.921191406249999_CN11.11826171875.csv
1,sugar beet/,25196.5,2011-05-02,2011-11-01
2,barley/spring barley,1810.8,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,22208.9,2014-04-20,2014-10-10
5,soybean/000,210.1,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.2,2017-05-20,2017-09-15
out_SOC2.58353515625_PV0.623056640625_pH6.00830078125_CN11.11826171875.csv
1,sugar beet/,25196.5,2011-05-02,2011-11-01
2,barley/spring barley,1810.8,2012-05-02,2012-09-01
3,wheat/winter wheat,0,2013-09-09,2014-04-13
4,sugar beet/,22208.9,2014-04-20,2014-10-10
5,soybean/000,210.1,2015-04-15,2015-09-10
6,wheat/winter wheat,0,2015-09-25,2016-05-04
7,sugar beet/,9816.2,2017-05-20,2017-09-15
