de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
01.01.2011;-3.369166667;-5.51;-1.11;4.349166667;1.951520711;5.046430044;84.91666667
02.01.2011;-1.874166667;-3.32;-1.11;5.057916667;2.05198575;0.663969768;84.45833333
03.01.2011;-2.973333333;-5.53;-1.11;2.768333333;2.418889188;0.219999085;83.95833333
04.01.2011;-4.79375;-7.09;-2.78;3.062272727;1.089765676;4.317336396;93.875
05.01.2011;-10.15125;-12.45;-7.22;5.175416667;2.813004188;0.142631514;86.08333333
06.01.2011;-10.88375;-17.78;-7.78;2.394210526;3.536811563;0;92.18181818
07.01.2011;-15.56541667;-21.11;-11.11;2.514375;3.894193563;0;85.73684211
08.01.2011;-5.796666667;-10.06;-3.89;3.007916667;1.74435759;0.306105954;91.95833333
09.01.2011;-4.78375;-10;-3.58;3.9;3.359607;0;82.20833333
10.01.2011;-11.25125;-15;-6.78;3.400416667;3.330844625;0.124171376;83.20833333
11.01.2011;-6.985;-13.89;-3.96;3.033043478;0.567230863;3.300284036;85.29166667
12.01.2011;-6.994166667;-12.22;-4.48;3.47875;2.67810125;0.125184655;84.29166667
13.01.2011;-7.142916667;-12.22;-3.89;3.645;0.482219621;4.532846855;89.04166667
14.01.2011;-2.9325;-5;-1.11;1.967777778;1.642205188;0.427597552;95.375
15.01.2011;-4.094166667;-7.22;-2.18;2.721875;3.777833;1.89513946;87.83333333
16.01.2011;-8.287083333;-12.78;-6.11;3.141666667;3.521787063;0.28363883;90.04166667
17.01.2011;-14.57208333;-18.89;-11.47;2.989583333;3.390020063;0.069314614;83.94736842
18.01.2011;-16.45708333;-22.22;-10.13;1.765625;3.396768063;0.050984323;81.57142857
19.01.2011;-17.40333333;-20;-13.11;2.113333333;3.741464813;0.192850828;81.95652174
20.01.2011;-12.96;-17.22;-9.12;2.847727273;1.55399725;2.208292368;86.09090909
21.01.2011;-9.250833333;-12.22;-6.99;3.075;1.748251188;2.288646429;85.58333333
22.01.2011;-8.97625;-11.11;-6.39;3.553333333;1.3844135;3.671328072;87.83333333
23.01.2011;-7.90375;-12.22;-6.08;2.27;2.845835563;0.355557087;91.91666667
24.01.2011;-9.667083333;-12.78;-7.78;3.626666667;2.110926438;1.193493779;89.70833333
