"daily"
Date,Crop,Stage,AbBiom,OrgBiom/Leaf,OrgBiom/Fruit,Yield,LAI,Precip,Mois_1,Mois_2,Mois_3,Mois_1,Mois_2,Mois_3,SOC_1,SOC_2,SOC_3,Tavg,Globrad
[],[],[1-6/7],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[m2 m-2],[mm],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[],[]
2011-01-01,,0,0,0,0,0,0,5.0464,0.358,0.3,0.3,0.358,0.3,0.3,0.0507,0.0507,0.0507,-3.3692,1.9515
2011-01-02,,0,0,0,0,0,0,0.664,0.365,0.3,0.3,0.365,0.3,0.3,0.0507,0.0507,0.0507,-1.8742,2.052
2011-01-03,,0,0,0,0,0,0,0.22,0.367,0.3,0.3,0.367,0.3,0.3,0.0507,0.0507,0.0507,-2.9733,2.4189
2011-01-04,,0,0,0,0,0,0,4.3173,0.417,0.3,0.3,0.417,0.3,0.3,0.0507,0.0507,0.0507,-4.7938,1.0898
2011-01-05,,0,0,0,0,0,0,0.1426,0.418,0.3,0.3,0.418,0.3,0.3,0.0507,0.0507,0.0507,-10.1512,2.813
2011-01-06,,0,0,0,0,0,0,0,0.418,0.3,0.3,0.418,0.3,0.3,0.0507,0.0507,0.0507,-10.8838,3.5368
2011-01-07,,0,0,0,0,0,0,0,0.418,0.3,0.3,0.418,0.3,0.3,0.0507,0.0507,0.0507,-15.5654,3.8942
2011-01-08,,0,0,0,0,0,0,0.3061,0.422,0.3,0.3,0.422,0.3,0.3,0.0507,0.0507,0.0507,-5.7967,1.7444
2011-01-09,,0,0,0,0,0,0,0,0.422,0.3,0.3,0.422,0.3,0.3,0.0507,0.0507,0.0507,-4.7838,3.3596
2011-01-10,,0,0,0,0,0,0,0.1242,0.423,0.3,0.3,0.423,0.3,0.3,0.0507,0.0507,0.0507,-11.2513,3.3308
2011-01-11,,0,0,0,0,0,0,3.3003,0.461,0.3,0.3,0.461,0.3,0.3,0.0507,0.0507,0.0507,-6.985,0.5672
2011-01-12,,0,0,0,0,0,0,0.1252,0.462,0.3,0.3,0.462,0.3,0.3,0.0507,0.0507,0.0507,-6.9942,2.6781
2011-01-13,,0,0,0,0,0,0,4.5328,0.514,0.3,0.3,0.514,0.3,0.3,0.0507,0.0507,0.0507,-7.1429,0.4822
2011-01-14,,0,0,0,0,0,0,0.4276,0.519,0.3,0.3,0.519,0.3,0.3,0.0507,0.0507,0.0507,-2.9325,1.6422
2011-01-15,,0,0,0,0,0,0,1.8951,0.531,0.3,0.3,0.531,0.3,0.3,0.0507,0.0507,0.0507,-4.0942,3.7778
2011-01-16,,0,0,0,0,0,0,0.2836,0.537,0.3,0.3,0.537,0.3,0.3,0.0507,0.0507,0.0507,-8.2871,3.5218
2011-01-17,,0,0,0,0,0,0,0.0693,0.542,0.3,0.3,0.542,0.3,0.3,0.0507,0.0507,0.0507,-14.5721,3.39
2011-01-18,,0,0,0,0,0,0,0.051,0.545,0.3,0.3,0.545,0.3,0.3,0.0507,0.0507,0.0507,-16.4571,3.3968
2011-01-19,,0,0,0,0,0,0,0.1929,0.547,0.3,0.3,0.547,0.3,0.3,0.0507,0.0507,0.0507,-17.4033,3.7415
2011-01-20,,0,0,0,0,0,0,2.2083,0.549,0.3,0.3,0.549,0.3,0.3,0.0507,0.0507,0.0507,-12.96,1.554
2011-01-21,,0,0,0,0,0,0,2.2886,0.551,0.3,0.3,0.551,0.3,0.3,0.0507,0.0507,0.0507,-9.2508,1.7483
2011-01-22,,0,0,0,0,0,0,3.6713,0.552,0.3,0.3,0.552,0.3,0.3,0.0507,0.0507,0.0507,-8.9763,1.3844
2011-01-23,,0,0,0,0,0,0,0.3556,0.553,0.3,0.3,0.553,0.3,0.3,0.0507,0.0507,0.0507,-7.9038,2.8458
2011-01-24,,0,0,0,0,0,0,1.1935,0.554,0.3,0.3,0.554,0.3,0.3,0.0507,0.0507,0.0507,-9.6671,2.1109
2011-01-25,,0,0,0,0,0,0,0.22,0.555,0.3,0.3,0.555,0.3,0.3,0.0507,0.0507,0.0507,-9.92,4.1201
2011-01-26,,0,0,0,0,0,0,0.8063,0.555,0.3,0.3,0.555,0.3,0.3,0.0507,0.0507,0.0507,-12.8004,2.2148
2011-01-27,,0,0,0,0,0,0,0.3364,0.556,0.3,0.3,0.556,0.3,0.3,0.0507,0.0507,0.0507,-10.8771,3.2686
2011-01-28,,0,0,0,0,0,0,0.4083,0.557,0.3,0.3,0.557,0.3,0.3,0.0507,0.0507,0.0507,-7.3779,2.8859
2011-01-29,,0,0,0,0,0,0,0.359,0.557,0.3,0.3,0.557,0.3,0.3,0.0507,0.0507,0.0507,-7.4267,3.228
2011-01-30,,0,0,0,0,0,0,0.3937,0.557,0.3,0.3,0.557,0.3,0.3,0.0507,0.0507,0.0507,-8.1508,3.9859
2011-01-31,,0,0,0,0,0,0,0.32,0.558,0.3,0.3,0.558,0.3,0.3,0.0507,0.0507,0.0507,-5.4633,4.0885
2011-02-01,,0,0,0,0,0,0,0.6189,0.558,0.3,0.3,0.558,0.3,0.3,0.0507,0.0507,0.0507,-10.1962,4.0919
2011-02-02,,0,0,0,0,0,0,0.8775,0.559,0.3,0.3,0.559,0.3,0.3,0.0507,0.0507,0.0507,-5.7042,2.8227
2011-02-03,,0,0,0,0,0,0,1.3609,0.559,0.3,0.3,0.559,0.3,0.3,0.0507,0.0507,0.0507,-3.2717,2.3084
2011-02-04,,0,0,0,0,0,0,1.5059,0.559,0.3,0.3,0.559,0.3,0.3,0.0507,0.0507,0.0507,-2.1779,1.5696
2011-02-05,,0,0,0,0,0,0,4.4922,0.559,0.3,0.3,0.559,0.3,0.3,0.0507,0.0507,0.0507,-1.0475,1.1094
2011-02-06,,0,0,0,0,0,0,3.2399,0.56,0.3,0.3,0.56,0.3,0.3,0.0507,0.0507,0.0507,0.5875,3.5316
2011-02-07,,0,0,0,0,0,0,0.5845,0.56,0.3,0.3,0.56,0.3,0.3,0.0507,0.0507,0.0507,-1.1467,5.0093
2011-02-08,,0,0,0,0,0,0,3.4498,0.56,0.3,0.3,0.56,0.3,0.3,0.0507,0.0507,0.0507,-1.11,4.4325
2011-02-09,,0,0,0,0,0,0,1.6206,0.56,0.3,0.3,0.56,0.3,0.3,0.0507,0.0507,0.0507,0.275,2.2784
2011-02-10,,0,0,0,0,0,0,0.6106,0.56,0.3,0.3,0.56,0.3,0.3,0.0507,0.0507,0.0507,-6.75,3.3829
2011-02-11,,0,0,0,0,0,0,0.5357,0.561,0.3,0.3,0.561,0.3,0.3,0.0507,0.0507,0.0507,-12.2179,5.9881
2011-02-12,,0,0,0,0,0,0,4.2774,0.561,0.3,0.3,0.561,0.3,0.3,0.0507,0.0507,0.0507,-9.2954,1.4439
2011-02-13,,0,0,0,0,0,0,3.3239,0.561,0.3,0.3,0.561,0.3,0.3,0.0507,0.0507,0.0507,-11.0879,2.2352
2011-02-14,,0,0,0,0,0,0,1.7062,0.561,0.3,0.3,0.561,0.3,0.3,0.0507,0.0507,0.0507,-12.7171,2.9077
2011-02-15,,0,0,0,0,0,0,0.0929,0.561,0.3,0.3,0.561,0.3,0.3,0.0507,0.0507,0.0507,-17.8508,7.3247
2011-02-16,,0,0,0,0,0,0,0.0883,0.561,0.3,0.3,0.561,0.3,0.3,0.0507,0.0507,0.0507,-20.855,8.3571
2011-02-17,,0,0,0,0,0,0,0.1095,0.561,0.3,0.3,0.561,0.3,0.3,0.0507,0.0507,0.0507,-19.3321,8.039
2011-02-18,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-21.5071,9.258
2011-02-19,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-23.6971,9.0598
