"daily"
Date,Crop,Stage,AbBiom,OrgBiom/Leaf,OrgBiom/Fruit,Yield,LAI,Precip,Mois_1,Mois_2,Mois_3,Mois_1,Mois_2,Mois_3,SOC_1,SOC_2,SOC_3,Tavg,Globrad
[],[],[1-6/7],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[kgDM ha-1],[m2 m-2],[mm],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[m3 m-3],[kgC kg-1],[kgC kg-1],[kgC kg-1],[],[]
2011-01-01,,0,0,0,0,0,0,5.0464,0.138,0.08,0.08,0.138,0.08,0.08,0.0507,0.0507,0.0507,-3.3692,1.9515
2011-01-02,,0,0,0,0,0,0,0.664,0.145,0.08,0.08,0.145,0.08,0.08,0.0507,0.0507,0.0507,-1.8742,2.052
2011-01-03,,0,0,0,0,0,0,0.22,0.147,0.08,0.08,0.147,0.08,0.08,0.0507,0.0507,0.0507,-2.9733,2.4189
2011-01-04,,0,0,0,0,0,0,4.3173,0.197,0.08,0.08,0.197,0.08,0.08,0.0507,0.0507,0.0507,-4.7938,1.0898
2011-01-05,,0,0,0,0,0,0,0.1426,0.198,0.08,0.08,0.198,0.08,0.08,0.0507,0.0507,0.0507,-10.1512,2.813
2011-01-06,,0,0,0,0,0,0,0,0.198,0.08,0.08,0.198,0.08,0.08,0.0507,0.0507,0.0507,-10.8838,3.5368
2011-01-07,,0,0,0,0,0,0,0,0.198,0.08,0.08,0.198,0.08,0.08,0.0507,0.0507,0.0507,-15.5654,3.8942
2011-01-08,,0,0,0,0,0,0,0.3061,0.202,0.08,0.08,0.202,0.08,0.08,0.0507,0.0507,0.0507,-5.7967,1.7444
2011-01-09,,0,0,0,0,0,0,0,0.202,0.08,0.08,0.202,0.08,0.08,0.0507,0.0507,0.0507,-4.7838,3.3596
2011-01-10,,0,0,0,0,0,0,0.1242,0.203,0.08,0.08,0.203,0.08,0.08,0.0507,0.0507,0.0507,-11.2513,3.3308
2011-01-11,,0,0,0,0,0,0,3.3003,0.241,0.08,0.08,0.241,0.08,0.08,0.0507,0.0507,0.0507,-6.985,0.5672
2011-01-12,,0,0,0,0,0,0,0.1252,0.242,0.08,0.08,0.242,0.08,0.08,0.0507,0.0507,0.0507,-6.9942,2.6781
2011-01-13,,0,0,0,0,0,0,4.5328,0.294,0.08,0.08,0.294,0.08,0.08,0.0507,0.0507,0.0507,-7.1429,0.4822
2011-01-14,,0,0,0,0,0,0,0.4276,0.299,0.08,0.08,0.299,0.08,0.08,0.0507,0.0507,0.0507,-2.9325,1.6422
2011-01-15,,0,0,0,0,0,0,1.8951,0.32,0.08,0.08,0.32,0.08,0.08,0.0507,0.0507,0.0507,-4.0942,3.7778
2011-01-16,,0,0,0,0,0,0,0.2836,0.324,0.08,0.08,0.324,0.08,0.08,0.0507,0.0507,0.0507,-8.2871,3.5218
2011-01-17,,0,0,0,0,0,0,0.0693,0.324,0.08,0.08,0.324,0.08,0.08,0.0507,0.0507,0.0507,-14.5721,3.39
2011-01-18,,0,0,0,0,0,0,0.051,0.325,0.08,0.08,0.325,0.08,0.08,0.0507,0.0507,0.0507,-16.4571,3.3968
2011-01-19,,0,0,0,0,0,0,0.1929,0.327,0.08,0.08,0.327,0.08,0.08,0.0507,0.0507,0.0507,-17.4033,3.7415
